id	generation	parent1	parent2	feasible	[Continuous] input_0	[Categorical] input_1	[Minimize] displacement	[Minimize] material
133	2	83	95	True	[1.4318187358933787, 4.057363314924768, 1.9289567149653766, 1.3207809080059558, 4.540775895068953, 1.4669857018516932]	[0, 2, 1, 2, 1]	0.003562	4511.120758
134	2	94	98	True	[2.2062984755000032, 3.922518653991539, 2.1503086580046284, 5.0, 3.894263465220316, 4.07053622738871]	[1, 0, 1, 2, 2]	0.013873	5714.231308
135	2	67	72	True	[1.393068669718673, 4.526786948987082, 0.0, 2.4189397248448676, 2.045966794815022, 2.6726631130399126]	[2, 2, 0, 0, 1]	0.044003	3726.137013
136	2	87	88	True	[0.8399523269908029, 4.154056735686553, 4.946111529447089, 2.6335851789019045, 1.252633446612162, 0.710747128571867]	[1, 0, 0, 0, 2]	0.010029	3759.52612
137	2	58	95	True	[1.4105789721564572, 3.5849628469717363, 1.7527378936473728, 1.4914749510804675, 1.1468125502974984, 1.7357249241167514]	[0, 2, 1, 1, 2]	0.002935	3659.852124
138	2	83	67	True	[0.985453280941952, 5.0, 2.555870092623918, 2.622236745565057, 1.070054925339763, 3.5423104403326695]	[2, 1, 1, 0, 1]	0.006637	4683.757291
139	2	86	95	True	[1.5753423216933042, 2.9123173730604806, 5.0, 1.4314446764102278, 3.8359508353259715, 1.0792707529291379]	[0, 2, 1, 1, 1]	0.00449	4722.630481
140	2	59	50	True	[0.39044689166612323, 0.8028171765085915, 1.4860946247864457, 3.0037217276726267, 2.0111237524319296, 1.1257551156847427]	[0, 0, 0, 0, 0]	0.014447	2179.85314
141	2	92	86	True	[2.327243904396493, 2.7773584004788194, 4.2992711506958265, 2.475951158865679, 3.268152854536578, 1.4290719073750249]	[1, 2, 0, 2, 1]	0.007699	4395.372225
142	2	97	51	True	[2.1825498456215127, 3.6782576247296435, 1.5806032208588283, 4.336502618096979, 3.292973839715548, 3.392703206661742]	[1, 1, 1, 0, 0]	0.011675	4586.127025
143	2	51	86	True	[2.47479074058982, 3.5769208586310053, 4.251779268227937, 3.788274809539519, 3.8782888819565375, 0.6301914235297768]	[1, 2, 1, 1, 0]	0.001283	5072.35068
144	2	83	85	True	[0.0014157271019792361, 4.165223767197211, 2.1741874934080374, 1.4236355802627274, 2.631152359618042, 1.874725251088314]	[0, 1, 0, 2, 1]	0.004711	3695.363397
